feature,importance
ca,0.06721311475409833
cp,0.030327868852458965
thalach,0.026229508196721246
oldpeak,0.01967213114754094
thal,0.017213114754098313
fbs,0.0040983606557376765
age,-0.001639344262295106
chol,-0.0032786885245901674
exang,-0.004098360655737742
slope,-0.006557377049180341
trestbps,-0.009016393442622967
restecg,-0.02213114754098363
sex,-0.022131147540983637
