feature,importance
thalach,0.21443692831492017
chol,0.1588358548412158
oldpeak,0.10683593129129453
ca,0.09029362041870521
age,0.08925527009079835
trestbps,0.08126532318943347
thal,0.0646150046683205
cp,0.059192619998643725
sex,0.05645895222538945
slope,0.04783425404337452
exang,0.01907957343754793
restecg,0.011896667480356341
fbs,0.0
