feature,importance
ca,0.13114754098360654
thalach,0.01967213114754097
cp,0.01967213114754096
fbs,0.009836065573770491
exang,0.005737704918032782
sex,0.002459016393442609
slope,-5.551115123125783e-18
trestbps,-1.1102230246251566e-17
age,-0.0008196721311475419
thal,-0.0008196721311475696
chol,-0.0024590163934426258
oldpeak,-0.0049180327868852515
restecg,-0.006557377049180335
